graph_pos,corr_comb,spd-wspd,spd-eucd,wspd-eucd
"((440, 660), (440, 770), (550, 550), (660, 110), (660, 660), (770, 220), (770, 330), (770, 550))",0.5228990036399338,0.8757973514334275,0.4456109816930511,0.24728867779332284
"((440, 660), (440, 770), (550, 550), (660, 110), (660, 660), (770, 220), (770, 440), (770, 550))",0.5577661470685454,0.9043329046719519,0.45621303741777786,0.31275249911590647
"((440, 660), (440, 770), (550, 550), (660, 110), (660, 660), (770, 330), (770, 440), (770, 550))",0.5270584108415065,0.8793850415384363,0.4204044524308226,0.2813857385552608
"((440, 660), (440, 770), (550, 550), (660, 110), (660, 770), (770, 220), (770, 330), (770, 440))",0.5873293158849261,0.8052040551267692,0.5420397674974078,0.41474412503060126
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 550), (770, 220), (770, 330), (770, 440))",0.40763627154145515,0.7843300137841185,0.26827809587312273,0.1703007049671242
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 660), (770, 220), (770, 330), (770, 440))",0.4756157890843305,0.7876198588559234,0.36275487629056197,0.27647263210650597
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 660), (770, 220), (770, 330), (770, 550))",0.5096320328244802,0.8562058439937996,0.4024105506604183,0.2702797038192225
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 660), (770, 220), (770, 440), (770, 550))",0.5376855400347417,0.8912779768105169,0.40817347039122487,0.31360517290248335
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 660), (770, 330), (770, 440), (770, 550))",0.5147480484809004,0.8505209019738341,0.40973628178217314,0.28398696168669396
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 770), (770, 220), (770, 330), (770, 440))",0.5774332727879804,0.7963760798210516,0.5002632907840834,0.43566044775880636
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 770), (770, 220), (770, 330), (770, 550))",0.6006617681005203,0.8606157997685894,0.5223635194066288,0.41900598512634274
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 770), (770, 220), (770, 330), (770, 660))",0.609471488411467,0.8788815842651587,0.5187413267936505,0.4307915541755918
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 770), (770, 220), (770, 440), (770, 550))",0.633133908607542,0.8867494129397744,0.5365143323172431,0.47613798056560874
"((440, 660), (440, 770), (550, 550), (660, 220), (660, 770), (770, 220), (770, 440), (770, 660))",0.6531466885443978,0.9369094419345136,0.5621743337700907,0.460356289928589
"((440, 660), (440, 770), (550, 550), (660, 330), (660, 550), (770, 220), (770, 330), (770, 440))",0.34981466488358565,0.7896683249607312,0.12190267183928859,0.13787299785073714
"((440, 660), (440, 770), (550, 550), (660, 330), (660, 660), (770, 220), (770, 330), (770, 440))",0.43670769937343357,0.8005970360794775,0.24457217154140692,0.2649538904994162
"((440, 660), (440, 770), (550, 550), (660, 330), (660, 660), (770, 220), (770, 330), (770, 550))",0.4525001619454452,0.8757973514334275,0.26775867990501356,0.21394445449789465
"((440, 660), (440, 770), (550, 550), (660, 330), (660, 660), (770, 220), (770, 440), (770, 550))",0.47367774876585306,0.9043329046719519,0.2875261321038929,0.22917420952171438
"((440, 660), (440, 770), (550, 550), (660, 330), (660, 660), (770, 330), (770, 440), (770, 550))",0.4666298740229229,0.7957651850443357,0.3410893214589552,0.2630351155654778
